epoch,time
1,6.4699
2,12.8416
3,19.3048
4,25.6657
5,32.0755
6,38.4429
7,44.8888
8,51.3087
9,57.7004
10,64.1209
11,70.4759
12,76.9378
13,83.2756
14,89.7505
15,96.0674
16,102.5737
17,108.9193
18,115.3725
19,121.6753
20,128.1291
21,134.4357
22,140.9112
23,147.2088
24,153.7184
25,160.0423
26,166.5182
27,172.8116
28,179.2762
29,185.6109
30,192.0518
31,198.3646
32,204.8153
33,211.1116
34,217.5692
35,223.9043
36,230.3405
37,236.6429
38,243.1137
39,249.4099
40,255.8835
41,262.2032
42,268.6551
43,274.9456
44,281.4303
45,287.7728
46,294.2216
47,300.5305
48,306.9682
49,313.2842
50,319.7175
51,326.0404
52,332.4598
53,338.8071
54,345.2285
55,351.7053
56,358.165
57,364.6264
58,371.0729
59,377.5885
60,384.1059
61,390.5337
62,397.1239
63,403.4806
64,410.1832
65,416.5156
66,423.0058
67,429.4323
68,435.9432
69,442.2612
70,448.7127
71,455.033
72,461.5297
73,467.9705
74,474.4327
75,480.8707
76,487.3198
77,493.7418
78,500.1926
79,506.6862
80,513.1168
81,519.5608
82,525.9957
83,532.5407
84,538.9013
85,545.3811
86,551.7971
87,558.3091
88,564.6695
89,571.2123
90,577.6046
91,584.084
92,590.4691
93,596.9961
94,603.3871
95,609.8327
96,616.2293
97,622.8614
98,629.2072
99,635.7421
100,642.0946
