step,s_loss,c_loss
1,6523080000.0,0.0
2,6436914700.0,653.0961
3,6248286700.0,1379.3868
4,6004694000.0,2192.5073
5,5720059000.0,3134.4639
6,5400123000.0,4248.5967
7,5056322600.0,5478.244
8,4708917000.0,6735.9434
9,4382586000.0,7972.341
10,4099768000.0,9170.492
11,3868049000.0,10365.372
12,3675733500.0,11616.797
13,3502702800.0,12981.406
14,3337549000.0,14516.048
15,3183839500.0,16247.468
16,3050947000.0,18118.793
17,2945449700.0,20025.941
18,2867355100.0,21862.137
19,2809878000.0,23532.783
20,2759393300.0,24920.648
21,2704807400.0,25993.994
22,2643053800.0,26797.648
23,2574318300.0,27386.082
24,2500895700.0,27810.988
25,2425552000.0,28125.086
26,2350691600.0,28359.38
27,2278089200.0,28565.055
28,2209127000.0,28750.848
29,2144320100.0,28916.73
30,2083635300.0,29079.168
31,2026712600.0,29266.0
32,1973012400.0,29489.75
33,1921861900.0,29743.336
34,1872963100.0,30016.488
35,1825800400.0,30316.912
36,1780057900.0,30639.174
37,1735148400.0,30972.46
38,1691140100.0,31313.742
39,1647965300.0,31647.727
40,1605784600.0,31981.73
41,1564741500.0,32311.04
42,1525004500.0,32631.854
43,1486995200.0,32929.492
44,1450801900.0,33191.5
45,1416371300.0,33413.49
46,1383543800.0,33605.242
47,1352454300.0,33752.18
48,1323033300.0,33863.04
49,1295473500.0,33952.48
50,1269625100.0,34017.105
51,1245235200.0,34042.324
52,1222111100.0,34032.062
53,1200050400.0,33993.664
54,1178942600.0,33943.18
55,1158716200.0,33882.414
56,1139214600.0,33814.258
57,1120328000.0,33737.1
58,1101740900.0,33671.62
59,1083413100.0,33614.547
60,1065246340.0,33555.21
61,1047111400.0,33493.906
62,1029089150.0,33442.96
63,1011176600.0,33391.31
64,993248800.0,33341.004
65,975415550.0,33301.67
66,957812350.0,33257.1
67,940419600.0,33215.086
68,923154700.0,33182.07
69,906073660.0,33143.914
70,889209700.0,33112.188
71,872570240.0,33087.273
72,856234940.0,33067.434
73,840161400.0,33064.617
74,824463170.0,33075.027
75,809200450.0,33098.02
76,794340600.0,33130.727
77,779925700.0,33173.105
78,765948160.0,33221.28
79,752383550.0,33271.81
80,739239800.0,33326.28
81,726588740.0,33375.867
82,714356500.0,33419.445
83,702489000.0,33465.805
84,690960800.0,33512.223
85,679766460.0,33556.117
86,668862700.0,33598.094
87,658268740.0,33642.305
88,648001300.0,33690.71
89,638055550.0,33737.016
90,628361700.0,33778.574
91,618878460.0,33823.145
92,609657800.0,33865.984
93,600595300.0,33902.305
94,591749900.0,33935.926
95,583092350.0,33971.133
96,574599300.0,34008.15
97,566258000.0,34039.984
98,558079600.0,34074.293
99,549967600.0,34108.152
100,541885760.0,34132.164
101,533878560.0,34148.617
102,525977150.0,34162.586
103,518236930.0,34174.945
104,510701220.0,34184.504
105,503370880.0,34187.875
106,496193300.0,34198.76
107,489113660.0,34212.312
108,482173440.0,34220.82
109,475338940.0,34225.89
110,468647550.0,34233.53
111,462106180.0,34239.227
112,455683550.0,34248.39
113,449334140.0,34261.0
114,443064130.0,34276.297
115,436889200.0,34290.19
116,430824000.0,34299.98
117,424827200.0,34311.562
118,418889380.0,34323.92
119,413094750.0,34335.113
120,407415230.0,34343.383
121,401842900.0,34349.742
122,396362800.0,34359.938
123,390997300.0,34373.035
124,385705540.0,34387.02
125,380472400.0,34405.215
126,375316220.0,34419.78
127,370183400.0,34432.164
128,365074530.0,34441.953
129,360014270.0,34450.6
130,355032900.0,34451.105
131,350133380.0,34450.93
132,345303800.0,34449.96
133,340563970.0,34451.484
134,335897200.0,34448.93
135,331306140.0,34443.96
136,326792320.0,34440.504
137,322343970.0,34441.164
138,317978750.0,34441.85
139,313714340.0,34442.312
140,309535900.0,34441.555
141,305418270.0,34442.297
142,301369800.0,34445.12
143,297379400.0,34445.92
144,293454460.0,34449.22
145,289615600.0,34448.41
146,285866800.0,34444.14
147,282235330.0,34435.133
148,278689820.0,34424.11
149,275266800.0,34410.35
150,271929300.0,34395.746
151,268673100.0,34379.51
152,265492740.0,34364.06
153,262342200.0,34349.14
154,259223070.0,34332.35
155,256162050.0,34315.957
156,253125620.0,34302.35
157,250133890.0,34293.887
158,247184560.0,34289.035
159,244272100.0,34290.113
160,241389060.0,34289.312
161,238530300.0,34289.92
162,235711070.0,34291.688
163,232922660.0,34295.348
164,230153820.0,34299.82
165,227404860.0,34303.45
166,224699380.0,34306.477
167,222033760.0,34308.06
168,219416200.0,34314.016
169,216833500.0,34321.29
170,214290980.0,34327.195
171,211791680.0,34331.566
172,209341700.0,34335.25
173,206936910.0,34335.38
174,204575410.0,34335.277
175,202233700.0,34335.65
176,199905540.0,34331.984
177,197611800.0,34326.695
178,195357580.0,34318.867
179,193144480.0,34305.094
180,190983980.0,34289.863
181,188869390.0,34277.832
182,186774980.0,34267.016
183,184694030.0,34253.902
184,182646430.0,34242.645
185,180622050.0,34233.176
186,178620500.0,34226.754
187,176639140.0,34222.016
188,174687060.0,34219.414
189,172759520.0,34217.367
190,170870780.0,34215.945
191,169016200.0,34218.7
192,167195200.0,34222.945
193,165393800.0,34228.613
194,163623310.0,34235.047
195,161873250.0,34239.164
196,160137520.0,34241.75
